"","cor","condition","batch+condition"
"1",0.116107322472791,45,0
"2",0.0385186837059377,0,0
"3",0.0297155295468727,0,0
"4",0.0492449151127592,2,0
"5",0.0167640074598294,0,0
"6",0.0356424725344813,1,1
"7",0.0420309322777036,1,0
"8",0.0873040641949036,23,0
"9",0.0776393167451332,0,0
"10",0.0196301880645825,0,0
"11",0.0503391021924193,0,0
"12",0.0341276099219871,0,0
"13",0.0156018748760462,0,0
"14",0.0549660473097102,0,0
"15",0.0426211139371718,0,0
"16",0.0871850473143276,3,0
"17",0.01051895224284,1,1
"18",0.0933687657259428,20,0
"19",0.0377810748180928,0,0
"20",0.17527743897235,75,0
"21",0.172028473366873,78,0
"22",0.0853743658834864,3,0
"23",0.0733177480624161,17,0
"24",0.192711650680741,94,0
"25",0.167447085930922,70,0
"26",0.121610474022386,35,0
"27",0.134284597374617,26,0
"28",0.148478196051017,83,0
"29",0.207801474038271,93,1
"30",0.101678457694818,0,0
"31",0.0720355329239198,32,0
"32",0.066037567413358,1,0
"33",0.209212461254026,81,0
"34",0.158225186236821,67,0
"35",0.069236504321109,1,1
"36",0.224614234928609,96,0
"37",0.140484454542477,36,0
"38",0.178390746997219,78,0
"39",0.14367295803081,21,0
"40",0.111820100346244,34,0
"41",0.25641947429988,98,0
"42",0.209998958777979,99,0
"43",0.151416893914077,62,0
"44",0.217742308964333,91,0
"45",0.231556661135767,94,0
"46",0.226824223871207,91,0
"47",0.220683864332525,90,0
"48",0.123496056076019,41,0
"49",0.245860827764016,91,0
"50",0.197152316118928,67,0
